description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,code|4,code|4|type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,modifiers,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|min,standard_charge|max,standard_charge|methodology,additional_generic_notes,service|type,code|1|description,code|2|description,clinical_domain,pricing|discounted,pricing|gross,description_clean
Mgh Hereditary Pancreatitis Panel,PX-31000649,CDM,81479,CPT,310.0,RC,,,outpatient,,,731.0,548.25,INTERNATIONAL COMMERCIAL [140001],CIGNA INTERNATIONAL [14000101],,,75.4,,551.17,134.8,134.8,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.0003528307255014862,,mgh hereditary pancreatitis panel
STENT HEARTMATE II SEALED STANDALONE OUTFLOW GRAFT WITH BEND RELIEF,SUP-445902,CDM,27000901,LOCAL,278.0,RC,,,inpatient,,,12000.0,9000.0,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK HYBRID [17000203],,,,,,,,,,LOCAL,Unknown,Unknown,Unknown,0.005792122065529916,,stent heartmate ii sealed standalone outflow graft bend relief
St Services 60 Min,PX-44000051,CDM,44000051,LOCAL,440.0,RC,,,outpatient,,,72.0,54.0,INTERNATIONAL COMMERCIAL [140001],BERMUDA GEHI [14000105],,,78.0,,56.16,185.4,306.0,percent of total billed charges,,LOCAL,Unknown,Unknown,Unknown,3.4746335309034806e-05,,st services 60 min
Strattice 36 Sq Cm T1,PX-27000653,CDM,Q4130,HCPCS,636.0,RC,,,inpatient,,,3377.5,2533.12,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA INDEMNITY [11000104],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001630233180860699,,strattice 36 sq cm t1
PORACTANT ALFA 240 MG/3 ML INTRATRACHEAL SUSPENSION,RX-123289,CDM,25009999,HCPCS,250.0,RC,10122-0510-03,NDC,inpatient,3.0,ML,4071.71,3053.78,FALLON HEALTH [1008],FALLON ATRIUS ACO [100816],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0019653142503550883,,poractant alfa 240 mg3 ml intratracheal suspension
EMBOLIC LIQUID 2ML VIAL 18 VISCOSITY LAVA,SUP-693028,CDM,C1889,HCPCS,278.0,RC,,,inpatient,,,6250.0,4687.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA MEDICARE PPO BLUE REPLACEMENT [11000108],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.003016727158691379,,embolic liquid 2ml vial 18 viscosity lava
"KETAMINE 50 MG/5 ML (10 MG/ML) IN SODIUM CHLOR,ISO-OSMOTIC INJ SYRINGE",RX-199340,CDM,25009998,HCPCS,250.0,RC,71266-9080-02,NDC,outpatient,5.0,ML,22.7,17.02,INTERNATIONAL COMMERCIAL [140001],BERMUDA FIRE & MARINE (BF&M) [14000104],,,78.0,,17.71,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,1.0947122867321391e-05,,ketamine 50 mg5 ml 10 mgml sodium chlorisoosmotic inj syringe
PLATE EXTERNAL 155MM ID FIXATION,SUP-267104,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,7725.0,5793.75,MASSHEALTH [3001],CMSP LIMITED [300113],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0037286762869673516,,plate external 155mm id fixation
Scyncardia Totl Artf Heart,PX-27000694,CDM,,,278.0,RC,,,outpatient,,,311750.0,233812.5,INTERNATIONAL COMMERCIAL [140001],BERMUDA GEHI [14000105],,,78.0,,243165.0,,,percent of total billed charges,,CDM,Unknown,Unknown,Unknown,0.1504746652524606,,scyncardia totl artf heart
BOSENTAN 62.5 MG TABLET,RX-31875,CDM,25009999,HCPCS,259.0,RC,47335-0038-86,NDC,inpatient,1.0,UN,26.84,,MEDICARE [2001],MEDICARE B [200102],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,,,bosentan 625 mg tablet
FENTANYL (PF) PCA BAG IN NS 10 MCG/ML (50 ML) CMPD PED_MGH,RX-701243,CDM,J3010,HCPCS,636.0,RC,00000-0027-87,NDC,outpatient,50.0,ML,10.41,7.81,WELLPOINT [1015],WELLPOINT GIC COMMUNITY CHOICE [101504],,10.4,,,10.4,10.4,10.4,fee schedule,,HCPCS,Unknown,Unknown,Unknown,5.019844701064483e-06,,fentanyl pf pca bag ns 10 mcgml 50 ml cmpd pedmgh
FLUPHENAZINE 1 MG TABLET,RX-3218,CDM,25009999,HCPCS,250.0,RC,69238-1678-01,NDC,inpatient,1.0,UN,2.58,1.93,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK NON CONFORMING [17000204],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,1.2356540802620266e-06,,fluphenazine 1 mg tablet
LEVOTHYROXINE SYR IN NS 20 MCG/ML (NEO),RX-700388,CDM,J0650,HCPCS,250.0,RC,00000-0007-81,NDC,inpatient,1.0,ML,89.74,67.3,CENTERS OF EXCELLENCE [1026],CIGNA TRANSPLANT [102602],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,4.330581409418322e-05,,levothyroxine syr ns 20 mcgml neo
KIT CATHETER 104.1CM INFUSION INTRATHECAL SEGMENT CONNECTOR PIN TUOHY NEEDLE STRAIN RELIEF SLEEVE V WING ANCHOR RULER,SUP-136963,CDM,C1755,HCPCS,278.0,RC,,,inpatient,,,2261.0,1695.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH PPO MEDICARE REPLACEMENT [11000124],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001091327109408088,,kit catheter 1041cm infusion intrathecal segment connector pin tuohy needle strain relief sleeve v wing anchor ruler
Meg Spontaneous Activity,PX-74000043,CDM,95965,CPT,740.0,RC,,,outpatient,,,23680.0,17760.0,CENTERS OF EXCELLENCE [1026],AETNA TRANSPLANT [102601],,,65.6,,15534.08,1475.98,11993.15,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.011429793806725411,,meg spontaneous activity
GRAFT BONE 1.4 TO 2.8MMX5 MD CHRONOS BETA TRICALCIUM PHOSPHATE GRANULE VOID FILLER,SUP-511943,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1194.48,895.86,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS ANTHEM NH HMO MEDICARE REPLACEMENT [11000123],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0005765420353139253,,graft bone 14 28mmx5 md chronos beta tricalcium phosphate granule void filler
Revsc Fem/Pop Art W/Stent& Arthc,PX-76001155,CDM,37227,CPT,361.0,RC,,,outpatient,,,19164.0,14373.0,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION SPECIAL BILLING [16000605],,713.65,,,713.65,713.65,32982.48,fee schedule,,CPT,Unknown,Unknown,Unknown,0.00925002278076318,,revsc fempop art wstent arthc
CATHETER ACCU VU 5FR 70CM 0.35IN ANGIOGRAPHY SIDEPORT PIGTAIL FLUSH SIZING 21 BANDS BX/5EA,SUP-98575,CDM,C1887,HCPCS,272.0,RC,,,inpatient,,,420.88,315.66,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA CONNECTORCARE [11000141],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00020314281793474412,,catheter accu vu 5fr 70cm 035in angiography sideport pigtail flush sizing 21 bands bx5ea
ICD DUAL-CHAMBER FORTIFY ASSURA 71X40 14MM NON-COATED DF4 CONNECTOR,SUP-421268,CDM,C1721,HCPCS,278.0,RC,,,inpatient,,,26750.0,20062.5,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION OF MA [16000601],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.012911613348289639,,icd dualchamber fortify assura 71x40 14mm noncoated df4 connector
PENICILLIN V POTASSIUM 125 MG/5 ML ORAL SOLUTION,RX-6090,CDM,25009999,HCPCS,250.0,RC,00093-4125-74,NDC,outpatient,200.0,ML,45.9,34.42,INTERNATIONAL COMMERCIAL [140001],CIGNA INTERNATIONAL [14000101],,,75.4,,34.61,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,2.214523796969601e-05,,penicillin v potassium 125 mg5 ml oral solution
Bronchoscopy W/Lav Bronch Alveolar,PX-76000785,CDM,31624,CPT,761.0,RC,,,outpatient,,,3278.0,2458.5,HARVARD PILGRIM [120001],HPHC HPI BMC TIERED HMO [12000123],,1232.36,,,2748.16,137.91,1756.21,other,Multiple Surgery,CPT,Unknown,Unknown,Unknown,0.0015822099998871824,,bronchoscopy wlav bronch alveolar
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION,RX-9308,CDM,J1939,HCPCS,636.0,RC,70860-0405-04,NDC,inpatient,4.0,ML,6.99,5.24,HARVARD PILGRIM [120001],HPHC ACCESS AMERICA [12000125],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,3.3658702290470833e-06,,bumetanide 025 mgml injection solution
SPINE CAGE 24X11MM LUMBAR SURGICAL TITANIUM,SUP-507795,CDM,C1821,HCPCS,278.0,RC,,,inpatient,,,5000.0,3750.0,INTERNATIONAL COMMERCIAL [140001],BERMUDA GEHI [14000105],,,77.5,,3875.0,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.0024133804398134362,,spine cage 24x11mm lumbar surgical titanium
GUIDE CATHETER 6FR EXTENSION TELESCOPE VASCULAR,SUP-644018,CDM,,,272.0,RC,,,outpatient,,,1225.0,918.75,WELLPOINT [1015],WELLPOINT GIC TOTAL CHOICE INDEMNITY [101501],,,74.45,,912.01,,,percent of total billed charges,,CDM,Unknown,Unknown,Unknown,0.0005912733488020491,,guide catheter 6fr extension telescope vascular
Ntrk3 Translocation Analysis,PX-31001131,CDM,81193,CPT,310.0,RC,,,inpatient,,,2390.0,1792.5,WELLSENSE [1003],WELLSENSE SCO MEDICARE REPLACEMENT [100311],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.0011535924907962918,,ntrk3 translocation analysis
GENERATOR NEUROSTIMULATOR INTELLIS BATTERY,SUP-535518,CDM,C1820,HCPCS,278.0,RC,,,inpatient,,,40500.0,30375.0,CIGNA [1006],CIGNA HMO MEDICARE REPLACEMENT [100614],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.01954842725594701,,generator neurostimulator intellis battery
CEMENT BONE 40G SIMPLEX P DEMINERALIZED MATRIX RADIOPAQUE VOID FILLER FULL DOSE SINGLE VIAL BX/10EA,SUP-470291,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,208.25,156.19,TUFTS HEALTH PLAN [170001],TUFTS SELECT [17000116],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00010051273659131423,,cement bone 40g simplex p demineralized matrix radiopaque void filler full dose single vial bx10ea
PLATE MEDIAL MALLEOLUS 7 HOLE ANATOMICAL,SUP-601314,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,5060.25,3795.19,HARVARD PILGRIM [120001],HARVARD PILGRIM INDEPENDENCE GIC PPO [12000108],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.002442463360587937,,plate medial malleolus 7 hole anatomical
METHADONE 10 MG/ML ORAL CONCENTRATE,RX-15996,CDM,25009999,HCPCS,250.0,RC,00406-0527-10,NDC,outpatient,1000.0,ML,204.0,153.0,MASSHEALTH ALTERNATE [3003],MASSACHUSETTS BEHAVIORAL HEALTH PARTNERSHIP [300301],,,,,204.0,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,9.845974882254556e-05,,methadone 10 mgml oral concentrate
Impl/ Repl Carotid Sinus Dev Total,PX-76001732,CDM,0266T,CPT,361.0,RC,,,inpatient,,,15442.0,11581.5,ELDER SERVICES [1037],ELEMENT CARE [103601],,,,,,12159.65,12159.65,,,CPT,Unknown,Unknown,Unknown,0.007453497590632218,,impl repl carotid sinus dev total
HYDROMORPHONE (PF) 200 MCG/ML-BUPIVACAINE (PF) 200 MCG/ML IN NS (100 ML) INTRATHECAL CMPD MGH,RX-7009712,CDM,J1171,HCPCS,636.0,RC,00000-0058-02,NDC,outpatient,100.0,ML,28.9,21.67,WELLPOINT [1015],WELLPOINT GIC DENTAL [101503],,,73.56,,21.26,32.71,38.11,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,1.3939722592955989e-05,,hydromorphone pf 200 mcgmlbupivacaine pf 200 mcgml ns 100 ml intrathecal cmpd mgh
Mgh Fgfr3-Related Disorders via the Fgfr3 Gene,PX-31000840,CDM,81479,CPT,310.0,RC,,,outpatient,,,1567.0,1175.25,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS FEDERAL FOCUS [11000140],,134.8,,,134.8,134.8,134.8,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0007563490110870543,,mgh fgfr3related disorders via fgfr3 gene
IFOSFAMIDE 3 GRAM INTRAVENOUS SOLUTION,RX-10249,CDM,J9208,HCPCS,636.0,RC,10019-0926-16,NDC,inpatient,60.0,ML,338.09,253.57,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK PREFERRED [101802],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0001631835669746039,,ifosfamide 3 gram intravenous solution
SCREW BONE 3.5X18MM CORTICAL A.L.P.S. TITANIUM NONLOCKING SELF TAPPING LOW PROFILE FULL THREAD DISTAL,SUP-282771,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,185.5,139.12,VETERANS ADMINISTRATION [160006],VETERANS ADMINISTRATION OF RI [16000602],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,8.952699953398466e-05,,screw bone 35x18mm cortical alps titanium nonlocking self tapping low profile full thread distal
KNEE IMPLANT 80MM SMALL TIBIAL COMPONENT PROXIMALIMAL MRS ONC 04A,SUP-91725,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,12478.0,9358.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS MA CONNECTORCARE [11000141],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.006022841850828841,,knee implant 80mm small tibial component proximalimal mrs onc 04a
"Florbetaben F18, Diagnostic, per Study Dose, Up to 8.1 Millicuries",PX-34300153,CDM,Q9983,HCPCS,343.0,RC,,,inpatient,,,11900.0,8925.0,ELDER SERVICES [1037],SERENITY CARE PACE [103606],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0057438543280196805,,florbetaben f18 diagnostic per study dose 81 millicuries
PLATE PELVIC 3.5X65MM 3 HOLE TITANIUM LOCKING LOW PROFILE STRAIGHT,SUP-180215,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1740.48,1305.36,INTERNATIONAL COMMERCIAL [140001],BERMUDA GEHI [14000105],,,77.5,,1348.87,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.0008400838821198106,,plate pelvic 35x65mm 3 hole titanium locking low profile straight
HC Addl Lwr Extr Pelvic Cntrl Band/Belt Uni Tier1,PX-27000417,CDM,L2630,HCPCS,274.0,RC,,,inpatient,,,350.0,262.5,INTERNATIONAL COMMERCIAL [140001],QUALITY HEALTH MANAGEMENT [14000112],,,72.0,,252.0,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.00016893064558748925,,hc addl lwr extr pelvic cntrl bandbelt uni tier1
SCREW BONE 5.5X60MM LOW PROFILE CANCELLOUS NONLOCKING,SUP-463462,CDM,C1713,HCPCS,278.0,RC,,,outpatient,,,262.5,196.87,MARTIN'S POINT [160007],MARTIN'S POINT GENERATIONS ADV HMO MEDICARE REPLACEMENT [16000702],,,,,262.5,,,other,APC grouping requires price history; No contract line matched,HCPCS,Unknown,Unknown,Unknown,0.0001266931574168659,,screw bone 55x60mm low profile cancellous nonlocking
Rmvl Substernal Impltbl Dfb Pulse Generator Only,PX-36000502,CDM,0580T,CPT,361.0,RC,,,outpatient,,,6646.0,4984.5,HARVARD PILGRIM [120001],HARVARD PILGRIM STUDENT RESOURCES [12000106],,7356.75,,,7356.75,5478.43,9078.54,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0032078673992319115,,rmvl substernal impltbl dfb pulse generator
Njx Dx/Ther Sbst Intrlmnr Crv/Thrc W/O Img Gdn,PX-76002393,CDM,62324,CPT,761.0,RC,,,outpatient,,,2261.0,1695.75,AETNA [1001],AETNA HMO MEDICARE REPLACEMENT [100109],,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,1024.65,92.29,1756.21,other,OPPS APC,CPT,Unknown,Unknown,Unknown,0.001091327109408088,,njx dxther sbst intrlmnr crvthrc wo img gdn
Rabies Vaccine Intramuscular|STATE SUPPLIED VACCINE,PX-63601004,CDM,90675,CPT,636.0,RC,,,outpatient,,,605.82,454.36,FALLON HEALTH [1008],FALLON MEDICARE REPLACEMENT [100803],SL,,,,605.82,,,other,APC grouping requires price history; No contract line matched,CPT,Unknown,Unknown,Unknown,0.00029240595383700615,,rabies vaccine intramuscularstate supplied vaccine
In Situ Hybridization 1st Probe Stain,PX-31000490,CDM,88365,CPT,310.0,RC,,,outpatient,,,671.0,503.25,COMMONWEALTH CARE ALLIANCE [1007],COMMONWEALTH CARE ALLIANCE ONE CARE MEDICARE REPLACEMENT [100702],,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,186.42,144.36,573.13,other,OPPS APC,CPT,Unknown,Unknown,Unknown,0.00032387008299534495,,situ hybridization 1st probe stain
PLATE ELBOW 2.7/3.5X69MM SHORT 1 HOLE HUMERUS VA LCP SS DISTAL LATERAL RIGHT,SUP-381462,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,3030.3,2272.72,TUFTS HEALTH PLAN [170001],TUFTS FREEDOM PPO [17000118],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0014626475962251618,,plate elbow 2735x69mm short 1 hole humerus va lcp ss distal lateral right
Cta Pelvis W&W/O Contrast,PX-35000043,CDM,72191,CPT,352.0,RC,,,inpatient,,,3314.0,2485.5,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK PREFERRED [101802],,,,,,,,,,CPT,Unknown,Unknown,Unknown,0.001599586385390867,,cta pelvis wwo contrast
CRANIOFACIAL PLATE 1.0MM 16 HOLE MICRO TITANIUM STRAIGHT,SUP-487086,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,897.51,673.13,MARTIN'S POINT [160007],MARTIN'S POINT GENERATIONS ADV PPO POS MEDICARE REPLACEMENT [16000703],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0004331997263051955,,craniofacial plate 10mm 16 hole micro titanium straight
Tx Fx Phalanx Distal W/Manip Closed,PX-76000512,CDM,26755,CPT,761.0,RC,,,outpatient,,,1798.0,1348.5,MGB HEALTH PLAN [150001],MGBHP HMO [15000102],,,36.2,,650.88,225.09,532.03,percent of total billed charges,,CPT,Unknown,Unknown,Unknown,0.0008678474847356981,,tx fx phalanx distal wmanip closed
SHOULDER BASEPLATE 25MM 15DEG AEQUALIS REVERSE FULL WEDGE,SUP-563173,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,5400.0,4050.0,WELLSENSE [1003],WELLSENSE ESSENTIAL MASSHEALTH MCO [100302],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.002606451389854378,,shoulder baseplate 25mm 15deg aequalis reverse full wedge
SCREW BONE 2.7X44MM TITANIUM CORTICAL SELF TAPPING FULL THREAD,SUP-284065,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,147.0,110.25,GENERIC MEDICARE REPLACEMENT [1010],GENERIC MEDICARE REPLACEMENT [101001],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,7.094713844171137e-05,,screw bone 27x44mm titanium cortical self tapping full thread
CARBIDOPA 10 MG-LEVODOPA 100 MG TABLET,RX-9406,CDM,25009999,HCPCS,250.0,RC,51862-0855-01,NDC,inpatient,1.0,UN,1.03,0.77,HARVARD PILGRIM [120001],HARVARD PILGRIM PPO [12000105],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,4.891130734370523e-07,,carbidopa 10 mglevodopa 100 mg tablet
SILTUXIMAB 400 MG INTRAVENOUS SOLUTION,RX-174740,CDM,J2860,HCPCS,636.0,RC,73090-0421-01,NDC,inpatient,20.0,ML,26213.32,19659.99,MASSHEALTH [3001],MASSHEALTH PENDING [300107],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.012652570054619708,,siltuximab 400 mg intravenous solution
DINUTUXIMAB 3.5 MG/ML INTRAVENOUS SOLUTION,RX-183285,CDM,C9399,HCPCS,636.0,RC,66302-0014-01,NDC,outpatient,5.0,ML,73658.71,55244.03,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK PREFERRED [101802],,,41.2,,30347.39,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.03555338475160261,,dinutuximab 35 mgml intravenous solution
GLENOID COMPONENT 15DEG XL CORTILOC RT,SUP-549686,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,4000.0,3000.0,GENERIC COMMERCIAL [1009],WELLSENSE NH GRANITE ADVANTAGE MCO [100922],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.001930703064711082,,glenoid component 15deg xl cortiloc rt
ACID REFLUX TEST NASAL CATH pH ELEC,PX-75000314,CDM,91034,CPT,750.0,RC,,,outpatient,,,1525.0,1143.75,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS FEDERAL [11000102],,737.21,,,737.21,167.56,1540.01,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0007360765613327555,,acid reflux test nasal cath ph elec
SET SLEEVE 2MM MEDIUM CABLE HIP DALL MILES NON BEADED VITALIUM ST/1CS/1BX/1EA,SUP-39774,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,988.75,741.56,INTERNATIONAL COMMERCIAL [140001],AETNA INTERNATIONAL KUWAIT EMBASSY [14000117],,,77.5,,766.28,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.00047723921000953425,,set sleeve 2mm medium cable hip dall miles non beaded vitalium st1cs1bx1ea
SOLIFENACIN 5 MG TABLET,RX-40392,CDM,25009999,HCPCS,250.0,RC,67877-0527-30,NDC,inpatient,1.0,UN,0.57,0.43,MGB HEALTH PLAN [150001],MGBHP ALLIES [15000111],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,2.7029933005731833e-07,,solifenacin 5 mg tablet
OMALIZUMAB 150 MG SUBCUTANEOUS SOLUTION,RX-36151,CDM,J2357,HCPCS,636.0,RC,50242-0040-62,NDC,outpatient,1.2,ML,5886.08,4414.56,TRICARE [160005],TRICARE EAST REGION PRIME [16000501],,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,1124.61,1420.08,2876.4,other,Tricare OPPS,HCPCS,Unknown,Unknown,Unknown,0.0028410712083441307,,omalizumab 150 mg subcutaneous solution
"Monitor Elec Vad, Rep T3",PX-27000838,CDM,Q0483,HCPCS,278.0,RC,,,inpatient,,,794.0,595.5,BLUE CROSS BLUE SHIELD [110001],BLUE CROSS OUT OF STATE POS [11000142],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0003832394001329345,,monitor elec vad rep t3
Echo Tthrc R-T 2d W/Wom-Mode Compl Spec&Colr D,PX-48000419,CDM,93306,CPT,483.0,RC,,,outpatient,,,3096.0,2322.0,UNITED HEALTHCARE [1016],UNITED SCO COMMUNITY MEDICARE REPLACEMENT [101601],,,,Paid using APC or APG reimbursement logic. Includes reimbursement for any outliers.,590.07,151.39,2377.56,other,OPPS APC,CPT,Unknown,Unknown,Unknown,0.0014943627176185537,,echo tthrc rt 2d wwommode compl speccolr
CAPECITABINE 150 MG TABLET,RX-22993,CDM,J8522,HCPCS,636.0,RC,55111-0496-60,NDC,inpatient,1.0,UN,1.09,0.82,CIGNA ALTERNATE [1018],TUFTS CIGNA CARELINK NON PREFERRED [101803],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,5.212915651105424e-07,,capecitabine 150 mg tablet
ZINC OXIDE 15 %-CORN STARCH 81 % TOPICAL POWDER,RX-162066,CDM,25009999,HCPCS,250.0,RC,63736-0111-51,NDC,outpatient,142.0,GR,15.09,11.32,CENTERS OF EXCELLENCE [1026],MGBHP TRANSPLANT [102609],,,71.8,,10.83,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,7.278774816543501e-06,,zinc oxide 15 corn starch 81 topical powder
SLING SYSTEM MID URETHRAL TRANSVAGINAL ADVANTAGE,SUP-165928,CDM,C1771,HCPCS,278.0,RC,,,outpatient,,,3973.32,2979.99,INTERNATIONAL COMMERCIAL [140001],AETNA INTERNATIONAL [14000102],,,78.0,,3099.19,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,0.0019178252323433511,,sling system mid urethral transvaginal advantage
PLASMA ALLOY 3IN SMALL COMPONENT ULNAR ELBOW COONRAD / MORREY TITANIUM COAT LEFT,SUP-163699,CDM,C1776,HCPCS,278.0,RC,,,inpatient,,,7407.75,5555.81,HARVARD PILGRIM [120001],HARVARD PILGRIM SELECT OR ELEVATE [12000112],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.003575545280791546,,plasma alloy 3in small component ulnar elbow coonrad morrey titanium coat left
VALGANCICLOVIR 50 MG/ML ORAL SOLUTION,RX-99443,CDM,25009999,HCPCS,250.0,RC,00000-0022-81,NDC,inpatient,9.0,ML,312.12,234.09,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK HYBRID [17000203],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.00015064682661861207,,valganciclovir 50 mgml oral solution
TUBE INTESTINAL 9FR 120CM ABBVIE,SUP-493686,CDM,,,272.0,RC,,,outpatient,,,248.58,186.43,TUFTS HEALTH PLAN [170001],TUFTS HMO [17000102],,,40.0,,99.43,,,percent of total billed charges,,CDM,Unknown,Unknown,Unknown,0.00011997428835544116,,tube intestinal 9fr 120cm abbvie
GRAFT BONE 30CC 1-4MM CHIP CANCELLOUS,SUP-682560,CDM,C1713,HCPCS,278.0,RC,,,inpatient,,,1456.67,1092.5,TUFTS HEALTH PLAN ALTERNATE [170002],TUFTS CARELINK HYBRID [17000203],,,,,,,,,,HCPCS,Unknown,Unknown,Unknown,0.0007030936073674278,,graft bone 30cc 14mm chip cancellous
MORPHINE 4 MG/ML INTRAVENOUS SOLUTION,RX-185637,CDM,J2270,HCPCS,636.0,RC,00641-6125-25,NDC,inpatient,1.0,ML,9.78,7.33,INTERNATIONAL COMMERCIAL [140001],CG CORALISLE COLONIAL [14000109],,,77.5,,7.58,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,4.710931180998976e-06,,morphine 4 mgml intravenous solution
NM Kidney Scan W/Flow & Function,PX-34000104,CDM,78707,CPT,341.0,RC,,,outpatient,,,1717.0,1287.75,HARVARD PILGRIM [120001],HARVARD PILGRIM HEALTH PLANS INC SELECT HMO [12000115],,774.38,,,774.38,201.46,1736.33,fee schedule,,CPT,Unknown,Unknown,Unknown,0.0008287506173524074,,nm kidney scan wflow function
"MULTIVIT WITH MIN #53-FA 200 MCG-VIT K 1,000 MCG-COQ10 10 MG CAPSULE",RX-186565,CDM,25009999,HCPCS,250.0,RC,68176-0000-11,NDC,outpatient,1.0,UN,2.51,1.88,WELLPOINT [1015],WELLPOINT GIC PLUS PPO [101506],,,74.45,,1.87,,,percent of total billed charges,,HCPCS,Unknown,Unknown,Unknown,1.2034755885885364e-06,,multivit min 53fa 200 mcgvit k 1000 mcgcoq10 10 mg capsule
